start_event_idx,end_event_idx,start_n,end_n,length_events,max_gap,sum_gap,mean_abs_y,branch_types
3445,3447,1004267,1004324,3,55,93,2.4405063333333334,"{0: np.int64(2), 1: np.int64(1)}"
3437,3439,1003363,1004102,3,687,741,3.037808333333333,"{0: np.int64(2), 1: np.int64(1)}"
8991,8993,7958777,7959426,3,495,775,2.4573876666666665,"{0: np.int64(2), 1: np.int64(1)}"
8986,8988,7958280,7958649,3,1554,1923,4.668009666666666,"{0: np.int64(2), 1: np.int64(1)}"
3433,3435,1002059,1003360,3,1299,1303,4.548517666666666,"{0: np.int64(2), 1: np.int64(1)}"
3429,3431,1000773,1002056,3,1281,1285,4.5392149999999996,"{0: np.int64(2), 1: np.int64(1)}"
3413,3415,999507,999646,3,82,141,1.4689063333333332,"{0: np.int64(2), 1: np.int64(1)}"
3409,3411,999437,999504,3,65,69,2.551875666666667,"{0: np.int64(2), 1: np.int64(1)}"
3405,3407,999377,999434,3,55,59,2.4405063333333334,"{0: np.int64(2), 1: np.int64(1)}"
3401,3403,999019,999374,3,353,357,3.6799296666666663,"{0: np.int64(2), 1: np.int64(1)}"
3397,3399,998757,999016,3,257,295,3.4683349999999997,"{0: np.int64(2), 1: np.int64(1)}"
3393,3395,997817,998720,3,799,905,2.907443666666667,"{0: np.int64(2), 1: np.int64(1)}"
3389,3391,997755,997814,3,57,61,2.4643183333333334,"{0: np.int64(2), 1: np.int64(1)}"
3449,3451,1004327,1004694,3,236,369,1.821277,"{0: np.int64(2), 1: np.int64(1)}"
2234,2236,517668,517733,3,61,75,2.278484666666667,"{0: np.int64(2), 1: np.int64(1)}"
2238,2240,517736,517823,3,85,89,2.7307183333333334,"{0: np.int64(2), 1: np.int64(1)}"
2242,2244,517826,518121,3,293,297,3.5557323333333333,"{0: np.int64(2), 1: np.int64(1)}"
2246,2248,518124,518337,3,181,215,2.3104193333333334,"{0: np.int64(2), 1: np.int64(1)}"
4194,4196,1569454,1570339,3,881,887,4.058606666666667,"{0: np.int64(2), 1: np.int64(1)}"
4190,4192,1568598,1569451,3,849,1045,4.033941333333334,"{0: np.int64(2), 1: np.int64(1)}"
2258,2260,519278,519481,3,199,205,3.0667716666666665,"{0: np.int64(2), 1: np.int64(1)}"
2262,2264,519484,519531,3,27,49,1.1986473333333332,"{0: np.int64(2), 1: np.int64(1)}"
