start_event_idx,end_event_idx,start_n,end_n,length_events,max_gap,sum_gap,mean_abs_y,branch_types
7110,7112,5037764,5046967,3,5579,10826,3.019398666666667,"{0: np.int64(2), 1: np.int64(1)}"
10510,10512,9769136,9775051,3,5756,6555,3.814375333333333,"{0: np.int64(2), 1: np.int64(1)}"
10506,10508,9766412,9768495,3,1920,2547,3.217449666666667,"{0: np.int64(2), 1: np.int64(1)}"
326,328,16394,16489,3,60,97,1.3647816666666668,"{0: np.int64(2), 1: np.int64(1)}"
6136,6138,3209668,3216665,3,6908,7531,4.141318,"{0: np.int64(2), 1: np.int64(1)}"
526,528,33070,33713,3,620,1199,4.2667556666666675,"{0: np.int64(2), 1: np.int64(1)}"
712,714,55534,56129,3,593,597,4.025747,"{0: np.int64(2), 1: np.int64(1)}"
5909,5911,3123141,3123732,3,356,697,1.9583100000000002,"{0: np.int64(2), 1: np.int64(1)}"
5905,5907,3122709,3123034,3,314,327,1.916464333333333,"{0: np.int64(2), 1: np.int64(1)}"
5901,5903,3122491,3122706,3,213,217,3.3431456666666666,"{0: np.int64(2), 1: np.int64(1)}"
5897,5899,3122443,3122488,3,43,47,2.2764176666666667,"{0: np.int64(2), 1: np.int64(1)}"
5893,5895,3122411,3122440,3,27,31,1.9661756666666665,"{0: np.int64(2), 1: np.int64(1)}"
5889,5891,3122339,3122408,3,67,79,2.5720793333333334,"{0: np.int64(2), 1: np.int64(1)}"
5885,5887,3112279,3122328,3,10019,10105,5.00776,"{0: np.int64(2), 1: np.int64(1)}"
5881,5883,3109877,3112222,3,2179,2587,3.4204186666666665,"{0: np.int64(2), 1: np.int64(1)}"
5877,5879,3107351,3109634,3,1559,2345,2.7062690000000003,"{0: np.int64(2), 1: np.int64(1)}"
7138,7140,5052968,5055035,3,1820,2621,3.0407146666666667,"{0: np.int64(2), 1: np.int64(1)}"
5913,5915,3123853,3123882,3,120,149,2.9606123333333336,"{0: np.int64(2), 1: np.int64(1)}"
6053,6055,3159903,3164208,3,4119,4411,3.806995,"{0: np.int64(2), 1: np.int64(1)}"
6049,6051,3159399,3159796,3,318,399,1.9206840000000003,"{0: np.int64(2), 1: np.int64(1)}"
368,370,24034,24259,3,220,283,3.4318793333333333,"{0: np.int64(2), 1: np.int64(1)}"
6077,6079,3171547,3173464,3,1913,1943,4.575520666666667,"{0: np.int64(2), 1: np.int64(1)}"
6025,6027,3149959,3150930,3,747,973,2.6068279999999997,"{0: np.int64(2), 1: np.int64(1)}"
6021,6023,3149015,3149956,3,939,1403,4.332161333333333,"{0: np.int64(2), 1: np.int64(1)}"
10553,10555,9794771,9796816,3,1693,2255,3.001628,"{0: np.int64(2), 1: np.int64(1)}"
411,413,26053,26470,3,252,433,1.8431433333333331,"{0: np.int64(2), 1: np.int64(1)}"
6013,6015,3146981,3147130,3,190,339,2.663570333333333,"{0: np.int64(2), 1: np.int64(1)}"
461,463,29329,29472,3,82,195,1.4689063333333332,"{0: np.int64(2), 1: np.int64(1)}"
10539,10541,9789503,9789786,3,279,293,3.2920429999999996,"{0: np.int64(2), 1: np.int64(1)}"
10535,10537,9789233,9789492,3,229,365,2.4887490000000003,"{0: np.int64(2), 1: np.int64(1)}"
423,425,27309,27878,3,565,647,3.7624523333333335,"{0: np.int64(2), 1: np.int64(1)}"
427,429,27881,27968,3,82,89,1.4689063333333332,"{0: np.int64(2), 1: np.int64(1)}"
431,433,27997,28112,3,60,143,1.3647816666666668,"{0: np.int64(2), 1: np.int64(1)}"
10531,10533,9788275,9789126,3,815,1666,2.5523276666666663,"{0: np.int64(2), 1: np.int64(1)}"
439,441,28309,28324,3,44,59,2.291744,"{0: np.int64(2), 1: np.int64(1)}"
7104,7106,5035826,5036109,3,193,465,2.008524,"{0: np.int64(2), 1: np.int64(1)}"
355,357,19809,21266,3,1442,1803,4.516854666666667,"{0: np.int64(2), 1: np.int64(1)}"
457,459,28941,29276,3,179,395,1.774972,"{0: np.int64(2), 1: np.int64(1)}"
6009,6011,3146057,3146790,3,568,735,2.1140403333333335,"{0: np.int64(2), 1: np.int64(1)}"
644,646,52326,52499,3,88,175,1.4924456666666666,"{0: np.int64(2), 1: np.int64(1)}"
7194,7196,5083350,5085389,3,1793,2973,3.1593196666666667,"{0: np.int64(2), 1: np.int64(1)}"
7198,7200,5085472,5085803,3,329,413,3.632989666666667,"{0: np.int64(2), 1: np.int64(1)}"
5763,5765,3038919,3038988,3,67,111,2.5720793333333334,"{0: np.int64(2), 1: np.int64(1)}"
290,292,15432,15515,3,81,85,2.6985836666666665,"{0: np.int64(2), 1: np.int64(1)}"
660,662,53150,53495,3,222,403,1.8008923333333335,"{0: np.int64(2), 1: np.int64(1)}"
7202,7204,5085806,5087285,3,1477,1481,4.6341296666666665,"{0: np.int64(2), 1: np.int64(1)}"
286,288,15398,15429,3,27,43,1.7351266666666667,"{0: np.int64(2), 1: np.int64(1)}"
282,284,15252,15385,3,140,273,2.118974666666667,"{0: np.int64(2), 1: np.int64(1)}"
5865,5867,3105325,3106246,3,628,1139,2.1475136666666668,"{0: np.int64(2), 1: np.int64(1)}"
5745,5747,3035115,3037840,3,2723,2747,5.041943666666667,"{0: np.int64(2), 1: np.int64(1)}"
7206,7208,5087288,5087493,3,201,207,3.0734386666666667,"{0: np.int64(2), 1: np.int64(1)}"
7210,7212,5087496,5087513,3,15,19,1.5743176666666667,"{0: np.int64(2), 1: np.int64(1)}"
7214,7216,5087516,5087557,3,39,43,2.211325,"{0: np.int64(2), 1: np.int64(1)}"
689,691,54665,55186,3,506,569,2.850946,"{0: np.int64(2), 1: np.int64(1)}"
7218,7220,5087560,5088863,3,1301,1305,4.549543,"{0: np.int64(2), 1: np.int64(1)}"
7222,7224,5088866,5089159,3,291,295,3.551166333333333,"{0: np.int64(2), 1: np.int64(1)}"
7226,7228,5089162,5089381,3,217,221,3.355549,"{0: np.int64(2), 1: np.int64(1)}"
7230,7232,5089384,5090019,3,633,637,4.069264333333334,"{0: np.int64(2), 1: np.int64(1)}"
5721,5723,3033469,3034360,3,696,973,2.181783,"{0: np.int64(2), 1: np.int64(1)}"
10753,10755,9931647,9933850,3,1668,2507,2.473127,"{0: np.int64(2), 1: np.int64(1)}"
5861,5863,3104249,3105106,3,654,867,2.161035666666667,"{0: np.int64(2), 1: np.int64(1)}"
5857,5859,3099095,3104238,3,5117,5223,4.6075170000000005,"{0: np.int64(2), 1: np.int64(1)}"
7146,7148,5057578,5060689,3,3060,3595,4.175563,"{0: np.int64(2), 1: np.int64(1)}"
7008,7010,5022680,5024445,3,1468,1819,2.430552,"{0: np.int64(2), 1: np.int64(1)}"
7150,7152,5061710,5065347,3,2867,4657,3.0918843333333332,"{0: np.int64(2), 1: np.int64(1)}"
7154,7156,5065606,5067283,3,1673,1935,4.4861509999999996,"{0: np.int64(2), 1: np.int64(1)}"
7158,7160,5067286,5068125,3,835,841,4.022856333333333,"{0: np.int64(2), 1: np.int64(1)}"
7162,7164,5068128,5068309,3,179,183,3.2272083333333335,"{0: np.int64(2), 1: np.int64(1)}"
7166,7168,5068312,5069775,3,970,1465,2.292432,"{0: np.int64(2), 1: np.int64(1)}"
640,642,52208,52323,3,113,135,2.920543,"{0: np.int64(2), 1: np.int64(1)}"
10427,10429,9699693,9703602,3,2291,3911,2.694847333333333,"{0: np.int64(2), 1: np.int64(1)}"
10423,10425,9699523,9699690,3,165,169,3.1729143333333334,"{0: np.int64(2), 1: np.int64(1)}"
7182,7184,5074428,5078093,3,1941,4689,2.563171666666667,"{0: np.int64(2), 1: np.int64(1)}"
5793,5795,3055619,3058978,3,2011,3875,2.6687993333333337,"{0: np.int64(2), 1: np.int64(1)}"
5789,5791,3052447,3055102,3,1546,3151,2.4478086666666665,"{0: np.int64(2), 1: np.int64(1)}"
620,622,51124,51237,3,298,411,3.5670129999999998,"{0: np.int64(2), 1: np.int64(1)}"
5785,5787,3050139,3051950,3,1486,1991,2.4346143333333337,"{0: np.int64(2), 1: np.int64(1)}"
7190,7192,5079548,5082415,3,2800,3087,3.4384149999999996,"{0: np.int64(2), 1: np.int64(1)}"
5777,5779,3047959,3049300,3,995,1893,2.6530156666666667,"{0: np.int64(2), 1: np.int64(1)}"
636,638,52078,52187,3,96,205,1.7378213333333334,"{0: np.int64(2), 1: np.int64(1)}"
302,304,15666,15715,3,30,65,1.1337323333333333,"{0: np.int64(2), 1: np.int64(1)}"
6722,6724,4534764,4535235,3,418,621,2.705389333333333,"{0: np.int64(2), 1: np.int64(1)}"
7486,7488,5221538,5225285,3,2125,4011,2.6438796666666664,"{0: np.int64(2), 1: np.int64(1)}"
5333,5335,2781295,2790852,3,8637,13761,3.767749333333334,"{0: np.int64(2), 1: np.int64(1)}"
10715,10717,9921773,9922258,3,483,487,3.888961666666667,"{0: np.int64(2), 1: np.int64(1)}"
44,46,352,405,3,38,65,1.2125290000000002,"{0: np.int64(2), 1: np.int64(1)}"
7494,7496,5227402,5229779,3,1221,2771,2.387376666666667,"{0: np.int64(2), 1: np.int64(1)}"
1134,1136,138180,138301,3,68,139,1.4065026666666667,"{0: np.int64(2), 1: np.int64(1)}"
7498,7500,5230166,5231413,3,703,1633,2.2705883333333334,"{0: np.int64(2), 1: np.int64(1)}"
10058,10060,9319124,9319899,3,3820,4595,3.7461723333333334,"{0: np.int64(2), 1: np.int64(1)}"
7448,7450,5183008,5183305,3,916,1213,2.8994633333333333,"{0: np.int64(2), 1: np.int64(1)}"
1146,1148,138506,139027,3,363,553,2.2420703333333334,"{0: np.int64(2), 1: np.int64(1)}"
6702,6704,4530656,4531199,3,652,1195,2.4768866666666667,"{0: np.int64(2), 1: np.int64(1)}"
1154,1156,139264,139419,3,153,201,3.1225763333333334,"{0: np.int64(2), 1: np.int64(1)}"
1158,1160,139422,139443,3,19,23,1.7319103333333334,"{0: np.int64(2), 1: np.int64(1)}"
7506,7508,5232822,5234345,3,1245,1829,2.875387,"{0: np.int64(2), 1: np.int64(1)}"
1168,1170,139562,139567,3,3,7,0.501359,"{0: np.int64(2), 1: np.int64(1)}"
6534,6536,4384364,4384505,3,2030,2171,3.890421,"{0: np.int64(2), 1: np.int64(1)}"
5301,5303,2713085,2722176,3,6924,10335,2.947583,"{0: np.int64(2), 1: np.int64(1)}"
5297,5299,2707503,2711840,3,3732,4967,2.768560666666667,"{0: np.int64(2), 1: np.int64(1)}"
1186,1188,142802,144069,3,1008,1911,2.9124883333333336,"{0: np.int64(2), 1: np.int64(1)}"
1142,1144,138356,138473,3,94,125,1.514432,"{0: np.int64(2), 1: np.int64(1)}"
1074,1076,130236,132227,3,1966,2873,4.903462666666667,"{0: np.int64(2), 1: np.int64(1)}"
125,127,2511,2624,3,77,129,1.7013639999999999,"{0: np.int64(2), 1: np.int64(1)}"
7462,7464,5193890,5195693,3,1774,2181,4.205396,"{0: np.int64(2), 1: np.int64(1)}"
6452,6454,4315004,4336177,3,19778,21846,3.2974416666666664,"{0: np.int64(2), 1: np.int64(1)}"
6456,6458,4342772,4346331,3,6594,10153,4.807002,"{0: np.int64(2), 1: np.int64(1)}"
10095,10097,9466705,9468516,3,2440,4251,3.206031,"{0: np.int64(2), 1: np.int64(1)}"
10091,10093,9455811,9464264,3,7318,10155,3.2361446666666667,"{0: np.int64(2), 1: np.int64(1)}"
7466,7468,5196286,5207293,3,8411,11599,3.404288333333333,"{0: np.int64(2), 1: np.int64(1)}"
1091,1093,135941,136068,3,72,157,1.4255553333333333,"{0: np.int64(2), 1: np.int64(1)}"
7482,7484,5220302,5221273,3,792,1011,2.2248536666666667,"{0: np.int64(2), 1: np.int64(1)}"
5353,5355,2795459,2795508,3,148,197,2.3011269999999997,"{0: np.int64(2), 1: np.int64(1)}"
115,117,2389,2420,3,50,81,2.1459173333333337,"{0: np.int64(2), 1: np.int64(1)}"
7470,7472,5208160,5213253,3,3392,5959,2.709725,"{0: np.int64(2), 1: np.int64(1)}"
111,113,2163,2338,3,150,193,1.6702116666666669,"{0: np.int64(2), 1: np.int64(1)}"
7474,7476,5214386,5216435,3,1684,3181,3.2308716666666673,"{0: np.int64(2), 1: np.int64(1)}"
5345,5347,2794063,2794716,3,618,1271,2.778604,"{0: np.int64(2), 1: np.int64(1)}"
1114,1116,136938,137279,3,285,626,2.2610453333333336,"{0: np.int64(2), 1: np.int64(1)}"
10075,10077,9405077,9408630,3,10916,14469,5.9676073333333335,"{0: np.int64(2), 1: np.int64(1)}"
6726,6728,4535376,4536819,3,1354,1583,2.70561,"{0: np.int64(2), 1: np.int64(1)}"
7478,7480,5216998,5220261,3,3143,3825,3.7727913333333327,"{0: np.int64(2), 1: np.int64(1)}"
1095,1097,136093,136236,3,128,167,1.9306793333333332,"{0: np.int64(2), 1: np.int64(1)}"
6584,6586,4428064,4430755,3,2660,4943,5.485751666666666,"{0: np.int64(2), 1: np.int64(1)}"
6645,6647,4487265,4490878,3,3434,3861,2.9311890000000003,"{0: np.int64(2), 1: np.int64(1)}"
6638,6640,4470928,4482559,3,11132,12665,3.591582333333333,"{0: np.int64(2), 1: np.int64(1)}"
6600,6602,4435360,4439597,3,3986,4425,2.763514666666667,"{0: np.int64(2), 1: np.int64(1)}"
7610,7612,5316608,5322273,3,3062,7385,2.675608,"{0: np.int64(2), 1: np.int64(1)}"
6604,6606,4440928,4443031,3,1994,3433,4.200356666666667,"{0: np.int64(2), 1: np.int64(1)}"
5171,5173,2535613,2540478,3,4716,5551,3.8375263333333334,"{0: np.int64(2), 1: np.int64(1)}"
1270,1272,155130,155278,3,95,150,1.7124873333333335,{0: np.int64(3)}
5167,5169,2532861,2534926,3,2054,2745,5.29198,"{0: np.int64(2), 1: np.int64(1)}"
7514,7516,5234720,5234951,3,201,301,2.401804333333333,"{0: np.int64(2), 1: np.int64(1)}"
5163,5165,2528939,2532180,3,2036,3479,2.539581,"{0: np.int64(2), 1: np.int64(1)}"
5155,5157,2526129,2527590,3,1182,1783,2.453881,"{0: np.int64(2), 1: np.int64(1)}"
5151,5153,2524651,2525806,3,2162,3317,3.915749333333333,"{0: np.int64(2), 1: np.int64(1)}"
6612,6614,4450210,4453447,3,3235,4865,5.156807333333333,"{0: np.int64(2), 1: np.int64(1)}"
6616,6618,4453450,4454167,3,482,719,2.059314666666667,"{0: np.int64(2), 1: np.int64(1)}"
102,104,2078,2089,3,12,23,1.1945066666666666,"{0: np.int64(2), 1: np.int64(1)}"
7636,7638,5350250,5354039,3,1922,5097,2.520374,"{0: np.int64(2), 1: np.int64(1)}"
1306,1308,162656,163377,3,515,1183,2.3868193333333334,"{0: np.int64(2), 1: np.int64(1)}"
6620,6622,4454330,4455973,3,1598,1805,3.312792,"{0: np.int64(2), 1: np.int64(1)}"
7070,7072,5028344,5028665,3,287,400,2.5975346666666668,"{0: np.int64(2), 1: np.int64(1)}"
1276,1278,158974,159325,3,924,1275,4.321425666666666,"{0: np.int64(2), 1: np.int64(1)}"
7522,7524,5235352,5235427,3,98,173,1.8618949999999999,"{0: np.int64(2), 1: np.int64(1)}"
7526,7528,5235442,5236569,3,718,1141,2.1921563333333336,"{0: np.int64(2), 1: np.int64(1)}"
7530,7532,5236810,5238435,3,1621,1865,4.465101,"{0: np.int64(2), 1: np.int64(1)}"
59,61,727,756,3,50,79,2.341089333333333,"{0: np.int64(2), 1: np.int64(1)}"
63,65,765,772,3,8,15,1.1159843333333332,"{0: np.int64(2), 1: np.int64(1)}"
5273,5275,2647481,2658084,3,10214,15119,4.711706666666666,"{0: np.int64(2), 1: np.int64(1)}"
6544,6546,4389850,4390419,3,1300,1869,3.8455843333333335,"{0: np.int64(2), 1: np.int64(1)}"
6674,6676,4525134,4525555,3,1854,2275,3.25982,"{0: np.int64(2), 1: np.int64(1)}"
6560,6562,4398210,4407831,3,9290,9989,3.1162076666666665,"{0: np.int64(2), 1: np.int64(1)}"
9977,9979,9282921,9284170,3,862,1946,2.6453256666666665,"{0: np.int64(2), 1: np.int64(1)}"
5269,5271,2627831,2642964,3,13544,16907,3.244654333333333,"{0: np.int64(2), 1: np.int64(1)}"
5265,5267,2619859,2626056,3,5322,6681,2.8598683333333335,"{0: np.int64(2), 1: np.int64(1)}"
5257,5259,2608591,2615870,3,6162,7489,2.908719,"{0: np.int64(2), 1: np.int64(1)}"
5253,5255,2607579,2608380,3,626,865,2.14645,"{0: np.int64(2), 1: np.int64(1)}"
1231,1233,146435,146810,3,242,403,1.8296463333333335,"{0: np.int64(2), 1: np.int64(1)}"
5237,5239,2604387,2605128,3,598,1083,2.712507666666667,"{0: np.int64(2), 1: np.int64(1)}"
5215,5217,2584069,2592426,3,6796,8847,2.9413633333333333,"{0: np.int64(2), 1: np.int64(1)}"
6576,6578,4413936,4417807,3,3742,3995,2.7424586666666664,"{0: np.int64(2), 1: np.int64(1)}"
5195,5197,2547787,2553140,3,3959,5975,3.109187,"{0: np.int64(2), 1: np.int64(1)}"
5191,5193,2545191,2547164,3,1862,2111,2.654951,"{0: np.int64(2), 1: np.int64(1)}"
6566,6568,4408614,4410640,3,1985,2222,3.5741533333333333,{0: np.int64(3)}
5463,5465,2859473,2860609,3,749,1244,2.426351,{0: np.int64(3)}
7436,7438,5170846,5174743,3,3178,3899,2.6880023333333334,"{0: np.int64(2), 1: np.int64(1)}"
6748,6750,4547384,4551029,3,2477,4141,2.8555196666666665,"{0: np.int64(2), 1: np.int64(1)}"
10135,10137,9537961,9550904,3,11062,18839,3.8654040000000003,"{0: np.int64(2), 1: np.int64(1)}"
6380,6382,3857086,3893873,3,36246,37467,3.6518106666666665,"{0: np.int64(2), 1: np.int64(1)}"
5451,5453,2852189,2852298,3,1772,1881,4.755527,"{0: np.int64(2), 1: np.int64(1)}"
6352,6354,3628888,3633297,3,4392,4509,3.977151333333333,"{0: np.int64(2), 1: np.int64(1)}"
10187,10189,9603519,9609534,3,4925,10817,3.3367423333333335,"{0: np.int64(2), 1: np.int64(1)}"
6730,6732,4537272,4539145,3,1492,2325,2.549879333333333,"{0: np.int64(2), 1: np.int64(1)}"
7440,7442,5175804,5179273,3,3443,4529,4.343366666666667,"{0: np.int64(2), 1: np.int64(1)}"
168,170,4810,4827,3,16,33,1.6037363333333332,"{0: np.int64(2), 1: np.int64(1)}"
6777,6779,4574837,4577788,3,1991,3115,2.7752836666666667,"{0: np.int64(2), 1: np.int64(1)}"
10175,10177,9578445,9578904,3,374,461,1.9747519999999998,"{0: np.int64(2), 1: np.int64(1)}"
5443,5445,2839121,2843720,3,4132,4601,2.775505666666666,"{0: np.int64(2), 1: np.int64(1)}"
10155,10157,9564549,9567860,3,1786,4261,2.4959113333333334,"{0: np.int64(2), 1: np.int64(1)}"
10147,10149,9559361,9560406,3,1024,1373,4.142818,"{0: np.int64(2), 1: np.int64(1)}"
7432,7434,5169952,5170843,3,889,1461,4.295682333333333,"{0: np.int64(2), 1: np.int64(1)}"
10171,10173,9573273,9578442,3,5167,5995,5.468982666666666,"{0: np.int64(2), 1: np.int64(1)}"
10143,10145,9557295,9559032,3,980,2413,2.295850666666667,"{0: np.int64(2), 1: np.int64(1)}"
6356,6358,3634762,3774079,3,138640,140781,4.460716333333333,"{0: np.int64(2), 1: np.int64(1)}"
6624,6626,4456508,4463319,3,6420,7345,3.130183333333333,"{0: np.int64(2), 1: np.int64(1)}"
5375,5377,2803261,2803716,3,518,973,3.7045519999999996,"{0: np.int64(2), 1: np.int64(1)}"
7424,7426,5166446,5167191,3,741,1231,3.9432356666666664,"{0: np.int64(2), 1: np.int64(1)}"
5406,5408,2817028,2819360,3,1893,2340,2.5153063333333336,{0: np.int64(3)}
7444,7446,5179284,5182091,3,2746,2817,2.6393003333333334,"{0: np.int64(2), 1: np.int64(1)}"
7428,7430,5167194,5169381,3,1708,2189,2.481026,"{0: np.int64(2), 1: np.int64(1)}"
129,131,2637,2654,3,15,29,1.5743179999999999,"{0: np.int64(2), 1: np.int64(1)}"
6758,6760,4565042,4568362,3,3047,3476,2.673971,{0: np.int64(3)}
5385,5387,2810001,2810516,3,291,517,1.9783333333333333,"{0: np.int64(2), 1: np.int64(1)}"
10119,10121,9499529,9501740,3,2440,4651,3.5157333333333334,"{0: np.int64(2), 1: np.int64(1)}"
10123,10125,9502307,9507514,3,4834,5773,3.1058203333333334,"{0: np.int64(2), 1: np.int64(1)}"
5389,5391,2810593,2811112,3,515,595,3.70068,"{0: np.int64(2), 1: np.int64(1)}"
5393,5395,2811115,2815178,3,4061,4065,5.308407,"{0: np.int64(2), 1: np.int64(1)}"
5477,5479,2866507,2870794,3,3718,4390,2.7403136666666668,"{0: np.int64(2), 1: np.int64(1)}"
6818,6820,4584856,4591299,3,5796,6608,2.8883076666666665,"{0: np.int64(2), 1: np.int64(1)}"
8457,8458,5750013,5750017,2,3131,3135,7.3559605,"{0: np.int64(1), 1: np.int64(1)}"
6132,6133,3209128,3209132,2,1589,1593,6.677713000000001,"{0: np.int64(1), 1: np.int64(1)}"
3585,3586,1032563,1032781,2,218,220,2.6922474999999997,"{0: np.int64(1), 1: np.int64(1)}"
6126,6127,3207024,3207026,2,1523,1525,6.9818635,"{0: np.int64(1), 1: np.int64(1)}"
6665,6666,4516401,4516691,2,290,350,2.8349405,"{0: np.int64(1), 1: np.int64(1)}"
6120,6121,3204248,3204252,2,3725,3729,7.529675000000001,"{0: np.int64(1), 1: np.int64(1)}"
3899,3900,1429653,1429657,2,755,759,5.9335705,"{0: np.int64(1), 1: np.int64(1)}"
7043,7044,5026337,5026343,2,91,97,3.61498,"{0: np.int64(1), 1: np.int64(1)}"
3230,3231,961088,961402,2,314,327,2.8746964999999998,"{0: np.int64(1), 1: np.int64(1)}"
3609,3610,1051219,1051342,2,123,171,2.406092,{0: np.int64(2)}
6771,6772,4571177,4574508,2,3331,4199,4.0555140000000005,{0: np.int64(2)}
3216,3217,959692,960236,2,2445,2989,4.6523255,"{0: np.int64(1), 1: np.int64(1)}"
3213,3214,957193,957246,2,100,153,2.620024,{0: np.int64(2)}
3606,3607,1051026,1051170,2,2932,3076,5.4985335,"{0: np.int64(1), 1: np.int64(1)}"
3590,3591,1032996,1032998,2,131,133,4.5286235,"{0: np.int64(1), 1: np.int64(1)}"
3210,3211,956792,957092,2,300,320,2.851891,"{0: np.int64(1), 1: np.int64(1)}"
7040,7041,5026210,5026245,2,35,39,1.777674,{0: np.int64(2)}
3875,3876,1423883,1424395,2,815,1327,3.5840255,"{0: np.int64(1), 1: np.int64(1)}"
3207,3208,956711,956771,2,392,452,3.9240895,"{0: np.int64(1), 1: np.int64(1)}"
6142,6143,3220128,3220130,2,1157,1159,6.7070125,"{0: np.int64(1), 1: np.int64(1)}"
8475,8476,5756337,5756339,2,1373,1375,6.8781795,"{0: np.int64(1), 1: np.int64(1)}"
3881,3882,1424761,1424765,2,145,149,4.2835865,"{0: np.int64(1), 1: np.int64(1)}"
3887,3888,1426327,1426331,2,1505,1509,6.623400999999999,"{0: np.int64(1), 1: np.int64(1)}"
8469,8470,5754317,5754321,2,1903,1907,6.85804,"{0: np.int64(1), 1: np.int64(1)}"
8463,8464,5751967,5752039,2,899,971,4.66295,"{0: np.int64(1), 1: np.int64(1)}"
7021,7022,5026045,5026061,2,16,19,1.386294,"{0: np.int64(1), 1: np.int64(1)}"
3869,3870,1422895,1422997,2,439,541,3.7720130000000003,"{0: np.int64(1), 1: np.int64(1)}"
3554,3555,1021266,1021268,2,89,91,4.1420625,"{0: np.int64(1), 1: np.int64(1)}"
3551,3552,1021065,1021176,2,260,371,3.2059165,{0: np.int64(2)}
3546,3547,1020660,1020802,2,241,383,3.0068835000000003,"{0: np.int64(1), 1: np.int64(1)}"
8450,8451,5746838,5746840,2,105,107,4.3073865,"{0: np.int64(1), 1: np.int64(1)}"
6314,6315,3605026,3605972,2,946,998,3.4261215,"{0: np.int64(1), 1: np.int64(1)}"
7063,7064,5028219,5028229,2,13,23,1.4136564999999999,"{0: np.int64(1), 1: np.int64(1)}"
6317,6318,3606289,3606329,2,316,356,3.9113024999999997,"{0: np.int64(1), 1: np.int64(1)}"
6341,6342,3624801,3625907,2,1106,1141,3.5042524999999998,"{0: np.int64(1), 1: np.int64(1)}"
6373,6374,3851719,3854362,2,2643,3539,3.939835,{0: np.int64(2)}
3941,3942,1457079,1458649,2,1570,2431,3.6794155,"{0: np.int64(1), 1: np.int64(1)}"
8432,8433,5740688,5744272,2,3584,3612,4.0921175000000005,"{0: np.int64(1), 1: np.int64(1)}"
6074,6075,3171446,3171520,2,641,715,4.3109965,"{0: np.int64(1), 1: np.int64(1)}"
6066,6067,3170516,3170518,2,277,279,5.277444,"{0: np.int64(1), 1: np.int64(1)}"
3952,3953,1459302,1459341,2,126,165,3.004501,{0: np.int64(2)}
6822,6823,4593232,4597408,2,4176,6108,4.1685545,"{0: np.int64(1), 1: np.int64(1)}"
6825,6826,4598801,4600500,2,1699,3091,3.7188974999999997,{0: np.int64(2)}
3959,3960,1460303,1460381,2,392,470,3.7929075,"{0: np.int64(1), 1: np.int64(1)}"
8435,8436,5745469,5745689,2,1196,1416,4.389924000000001,"{0: np.int64(1), 1: np.int64(1)}"
6106,6107,3189920,3190934,2,1111,2125,3.552187,"{0: np.int64(1), 1: np.int64(1)}"
7051,7052,5027651,5027879,2,1215,1443,4.3878265,"{0: np.int64(1), 1: np.int64(1)}"
7055,7056,5027895,5027948,2,53,67,1.985146,{0: np.int64(2)}
6781,6782,4578109,4578332,2,320,543,3.064735,{0: np.int64(2)}
6096,6097,3180700,3180702,2,447,449,5.755985000000001,"{0: np.int64(1), 1: np.int64(1)}"
3578,3579,1032528,1032532,2,5863,5867,7.9832695000000005,"{0: np.int64(1), 1: np.int64(1)}"
3572,3573,1026070,1026072,2,1763,1765,7.1281985,"{0: np.int64(1), 1: np.int64(1)}"
6655,6656,4500449,4502048,2,1599,2203,3.688567,{0: np.int64(2)}
8808,8809,6580726,6583956,2,3230,3553,4.0401185,"{0: np.int64(1), 1: np.int64(1)}"
6642,6643,4486272,4487016,2,3712,4456,4.9133055,"{0: np.int64(1), 1: np.int64(1)}"
6084,6085,3174562,3175084,2,522,975,3.1288335,"{0: np.int64(1), 1: np.int64(1)}"
3566,3567,1023614,1023616,2,2057,2059,7.2824305,"{0: np.int64(1), 1: np.int64(1)}"
3907,3908,1432779,1433013,2,716,950,3.8460195,"{0: np.int64(1), 1: np.int64(1)}"
3910,3911,1433092,1433443,2,351,429,2.9303930000000005,{0: np.int64(2)}
3913,3914,1438269,1439137,2,4825,5693,5.098470000000001,"{0: np.int64(1), 1: np.int64(1)}"
3559,3560,1021327,1021329,2,56,58,3.6787785,"{0: np.int64(1), 1: np.int64(1)}"
3919,3920,1441821,1447925,2,6104,6307,4.35835,"{0: np.int64(1), 1: np.int64(1)}"
6090,6091,3179004,3179086,2,3243,3325,5.8808945,"{0: np.int64(1), 1: np.int64(1)}"
6465,6466,4348363,4357009,2,8646,8713,4.532426,"{0: np.int64(1), 1: np.int64(1)}"
6447,6448,4314323,4314327,2,4392,4396,7.694393,"{0: np.int64(1), 1: np.int64(1)}"
6468,6469,4359892,4362274,2,2882,5264,4.078392,"{0: np.int64(1), 1: np.int64(1)}"
6437,6438,4295215,4300839,2,5624,5647,4.317399,"{0: np.int64(1), 1: np.int64(1)}"
6473,6474,4363767,4364235,2,697,1165,3.4725509999999997,"{0: np.int64(1), 1: np.int64(1)}"
8532,8533,5787534,5789163,2,1629,1631,3.6978605,{0: np.int64(2)}
3761,3762,1305385,1305442,2,1560,1617,5.3309155,{0: np.int64(2)}
6485,6486,4365831,4365833,2,657,659,6.1411105,"{0: np.int64(1), 1: np.int64(1)}"
6874,6875,4759526,4768490,2,8964,17776,4.550485999999999,"{0: np.int64(1), 1: np.int64(1)}"
3751,3752,1246783,1246824,2,70,111,2.391709,{0: np.int64(2)}
