event_idx,n,a_n,prev_event_n,gap,prev_gap,branch_type,sigma_hat,x,y,z,n_wedge_area,n_wedge_signed,n_wedge_l1,n_cross0,n_cross1,n_cross2,a_n_wedge_area,a_n_wedge_signed,a_n_wedge_l1,a_n_cross0,a_n_cross1,a_n_cross2,gap_wedge_area,gap_wedge_signed,gap_wedge_l1,gap_cross0,gap_cross1,gap_cross2,demand_coord,n_signed_roll16,n_area_roll16,a_n_signed_roll16,a_n_area_roll16,gap_signed_roll16,gap_area_roll16
8737,6427198,17947397,6427052,146,1,1,1,4.990433,4.983607,1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.4375,1.1306585174963206,-2.4375,4.177353623385412,-1.0625,1.1966415231213734
8738,6427199,24374596,6427198,1,146,1,1,0.693147,-4.983607,1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.2389116929693755,-2.5,4.151465275737093,-1.0625,1.1966415231213734
8739,6427200,30801796,6427199,1,1,1,1,0.693147,0.0,1.0,5.656854249492381,0.0,8.0,4.0,0.0,-4.0,2.449489742783178,-2.0,4.0,-1.0,-2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.5924650835626493,-2.5625,4.117058384661042,-1.0625,1.1966415231213734
8740,6427348,17947174,6427200,148,1,0,-1,5.003946,4.997212,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.5625,1.6549650835626493,-2.625,4.080647403726301,-1.0625,1.1966415231213734
8741,6427349,11519825,6427348,1,148,0,-1,0.693147,-4.997212,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,9.539392014169456,-7.0,13.0,-9.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,1.5777108349689124,-3.0625,4.5884710569635745,-1.0625,1.1966415231213734
8742,6427350,5092475,6427349,1,1,0,-1,0.693147,0.0,-1.0,1.7320508075688772,-1.0,3.0,1.0,-1.0,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.8125,1.5462097618482304,-3.0625,4.676859404611893,-1.0625,1.1966415231213734
8743,6442612,17970068,6427350,15262,1,1,1,9.633187,9.633121,1.0,4.58257569495584,-3.0,7.0,-1.0,2.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,4.58257569495584,-3.0,7.0,-1.0,2.0,-4.0,1,-0.9375,1.7701207427829704,-2.5625,3.7650808253543993,-1.0,1.2330525040561133
8744,6442613,24412681,6442612,1,15262,1,1,0.693147,-9.633121,1.0,1.4142135623730951,0.0,2.0,-1.0,1.0,0.0,6.928203230275509,-4.0,12.0,-4.0,4.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.875,1.7960090904312889,-2.6875,3.964239940573247,-1.0,1.2330525040561133
8745,6447701,11519823,6442613,5088,1,0,-1,8.534837,8.53464,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,9.695359714832659,-4.0,14.0,-9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.875,1.7960090904312889,-2.75,4.283788941815548,-0.9375,1.1247993285830584
8746,6447702,5072121,6447701,1,5088,0,-1,0.693147,-8.53464,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,6.0,-2.0,10.0,-2.0,4.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.8125,1.8218974380796074,-2.875,4.658788941815548,-0.9375,1.1247993285830584
8747,6450462,17971665,6447702,2760,1,1,1,7.923348,7.922986,1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-0.8125,1.9102857857279256,-2.8125,4.280671715495492,-0.9375,1.1247993285830584
