value_channel,area_mean,area_std,area_min,area_max,signed_mean,signed_std,signed_min,signed_max,signed_sum,zero_area_count,n_events
n,1.7321272276749011,2.383219072868552,0.0,16.0,-1.0634920634920635,2.2583039007043553,-16.0,1.0,-134.0,40,126
a_n,4.731498001447753,3.705378533374732,0.0,16.522711641858304,-3.0238095238095237,3.314125611896533,-16.0,2.0,-381.0,6,126
gap,1.1926170633673236,0.9328911278849326,0.0,4.58257569495584,-0.9365079365079365,0.7667701793474417,-4.0,1.0,-118.0,14,126
